,tokenId,priceETH,timestamp
0,5185,4,2021-06-17
1,6090,1,2021-05-31
2,6733,2.68,2021-06-19
3,7544,15.85,2021-08-20
4,9168,0.35,2021-05-02
5,3399,7.5,2021-06-21
6,3922,0.15,2021-05-01
7,1137,14,2021-08-08
8,357,33,2021-08-24
9,9544,0.8,2021-05-02
10,9390,6,2021-06-22
11,5325,8.2,2021-08-01
12,6102,45,2021-11-14
13,9421,10.5,2021-08-01
14,1751,1.35,2021-06-05
15,2502,2.239,2021-06-18
16,9296,0.876,2021-05-06
17,9817,7,2021-07-16
18,314,13.85,2021-08-04
19,9191,1.9,2021-06-08
20,8998,73.37,2021-08-28
21,9325,99.88,2022-01-28
22,1988,0.96,2021-06-01
23,81,0.375,2021-05-11
24,8110,0.29,2021-05-01
25,1503,40,2021-09-18
26,3166,2.5,2021-06-06
27,9104,12.5,2021-06-17
28,6929,0.06,2021-05-01
29,1293,19.99,2021-08-04
30,7276,0.27,2021-05-01
31,5538,2.3,2021-06-17
32,3965,6.99,2021-07-18
33,207,8,2021-07-19
34,3685,14,2021-07-18
35,639,33,2021-10-23
36,9979,0.5,2021-05-07
37,3082,33.02,2021-09-18
38,8535,3,2021-06-01
39,4627,0.99,2021-06-01
40,2618,1.1,2021-06-02
41,2325,6,2021-07-15
42,1134,33,2021-09-05
43,1571,3.44,2021-06-24
44,8479,1.95,2021-06-14
45,4579,2.5,2021-06-18
46,4906,52,2021-12-03
47,7950,0.18,2021-05-01
48,1591,3.127,2021-06-23
49,9078,0.39,2021-05-20
50,1681,2.9,2021-06-19
51,2653,112.5,2022-01-30
52,5819,3,2021-05-02
53,1108,16,2021-08-17
54,9424,8.75,2021-08-02
55,9165,2.5,2021-05-03
56,1397,0.88,2021-05-03
57,1176,16,2021-08-04
58,5946,0.16,2021-05-01
59,2943,4.1,2021-06-21
60,9934,0.301,2021-05-24
61,4643,99,2021-10-24
62,5451,6.689,2021-07-26
63,3099,16.6666,2021-08-05
64,4806,1.9,2021-06-07
65,9437,0.545280150543629773,2021-05-30
66,1628,6.99,2021-07-27
67,9370,37.5,2021-08-25
68,3799,7.2,2021-07-17
69,8545,0.28,2021-05-02
70,3860,49.95,2021-11-16
71,9919,4,2021-06-21
72,1197,4.8,2021-06-24
73,1854,1.97,2021-06-18
74,3683,79,2022-01-15
75,4733,3.9,2021-06-19
76,8627,3,2021-06-01
77,3153,10,2021-07-23
78,996,0.34,2021-05-19
79,9173,0.399,2021-05-01
80,9172,0.4,2021-05-13
81,534,88,2022-01-03
82,4153,50,2021-11-13
83,7568,41.1,2021-09-09
84,4595,83,2022-01-17
85,8898,0.64,2021-05-30
86,1416,0.549,2021-05-30
87,2751,10.5,2021-08-03
88,3148,0.12,2021-05-01
89,6147,1.7999,2021-06-03
90,6928,0.45,2021-05-02
91,9177,5.5,2021-06-20
92,6211,0.8888,2021-05-02
93,3051,0.47,2021-05-02
94,9703,109.69,2022-02-09
95,4316,2.99,2021-06-18
96,6795,1.21,2021-06-06
97,5128,0.27,2021-05-01
98,6080,86,2022-01-01
99,7128,1.5,2021-06-11
100,7850,1.1,2021-05-03
101,1814,1.1,2021-06-05
102,9473,4,2021-07-12
103,8630,22,2021-08-20
104,4721,0.7,2021-05-31
105,2762,1.64,2021-06-09
106,837,49.88,2021-11-15
107,6720,0.2,2021-05-01
108,9775,0.89,2021-05-25
109,5188,0.869,2021-05-31
110,408,0.23,2021-05-10
111,8540,48,2021-08-28
112,8054,22,2021-08-21
113,7383,1.5,2021-06-01
114,8707,2.5,2021-05-02
115,37,55,2021-08-30
116,7229,5.35,2021-07-16
117,9540,0.35,2021-05-17
118,9951,106.9,2022-02-07
119,4993,8.333,2021-07-26
120,241,4.6,2021-07-15
121,1240,0.3,2021-05-02
122,2158,4.25,2021-07-13
123,9812,1.3,2021-06-06
124,6003,1.6216,2021-06-14
125,237,74,2021-08-28
126,658,0.52,2021-05-03
127,1950,4,2021-07-12
128,8480,6.5,2021-06-20
129,3620,1,2021-05-03
130,3058,22.99,2021-08-21
131,6992,0.209,2021-05-01
132,1594,2.35,2021-06-18
133,6984,7.6,2021-07-18
134,4037,0,2021-11-05
135,4669,1.666,2021-06-15
136,756,1.65,2021-06-10
137,9130,109,2022-01-30
138,3274,13.96,2021-08-14
139,9276,0.45,2021-05-20
140,4096,2.4,2021-06-05
141,6667,38.44,2021-08-26
142,8465,4.44,2021-06-02
143,6763,16.5,2021-08-10
144,7309,104.2069,2022-01-29
145,6611,0.63,2021-05-30
146,8573,0.24,2021-05-01
147,4471,68,2021-11-29
148,5319,7.08,2021-08-02
149,4748,0.5,2021-05-25
150,8304,5.5,2021-07-16
151,2419,0.99,2021-05-31
152,1401,10,2021-05-02
153,5199,2.649925901531368352,2021-05-14
154,5576,2.649925901531368352,2021-05-14
155,4259,3,2021-06-18
156,3960,7,2021-07-14
157,3110,2.52,2021-06-19
158,9752,42,2021-10-16
159,5511,0.4,2021-05-09
160,4124,6.4999,2021-07-17
161,7350,5.5,2021-07-15
162,9617,0.429,2021-05-20
163,7309,3.8,2021-06-20
164,7007,45,2021-09-03
165,7847,0.7,2021-05-03
166,2336,5.99,2021-06-21
167,1833,0.5,2021-05-02
168,9926,6.2,2021-07-31
169,6203,3.5,2021-06-10
170,8859,0.25,2021-05-12
171,412,3.25,2021-06-20
172,3918,0.99,2021-05-30
173,9659,0.6,2021-05-22
174,2668,15,2021-08-11
175,5353,0,2021-08-16
176,9237,0.13,2021-05-01
177,6078,6,2021-07-15
178,9477,3.5,2021-06-24
179,1087,0.33,2021-05-01
180,4560,44,2021-10-03
181,5795,6.7,2021-07-21
182,7205,0.23,2021-05-01
183,2049,0.3999,2021-05-05
184,7664,3.8,2021-07-12
