,tokenId,priceETH,timestamp
0,20886,5.5,2021-09-06
1,9369,17,2021-11-18
2,29580,3.925,2021-09-14
3,3387,7.5,2021-08-29
4,9254,21.879,2022-01-29
5,1715,6.5,2021-08-29
6,9521,4.95,2021-08-29
7,6722,6.5,2021-08-29
8,9656,5.7,2021-11-14
9,7726,19,2022-01-01
10,3750,8.7,2021-12-24
11,6612,7.88,2021-08-30
12,4145,4.38,2021-09-04
13,6674,23.69,2022-01-30
14,429,4.25,2021-10-17
15,1865,3.1,2021-09-12
16,7988,4.49,2021-09-09
17,13698,17.3,2022-01-03
18,6477,4,2021-10-29
19,4722,9.2,2021-11-18
20,8707,5.9,2021-08-29
21,1570,4.5,2021-11-13
22,26396,4.7,2021-10-09
23,7566,3.6999,2021-09-13
24,539,6,2021-11-22
25,8345,8,2021-08-29
26,13006,4.5,2021-09-09
27,25494,7.97,2021-11-26
28,5351,5,2021-08-29
29,4443,4.6,2021-09-20
30,3508,8.99,2021-08-29
31,20976,3.85,2021-10-12
32,6175,4.4,2021-11-07
33,18845,11,2021-09-02
34,7497,8,2021-11-14
35,23,6.8,2021-12-03
36,29090,4.99,2021-09-26
37,20415,21,2022-01-08
38,4488,14.9,2022-01-02
39,6609,4.805,2021-10-05
40,237,9.9,2021-09-22
41,4424,19.49,2022-01-12
42,9179,4.99,2021-09-03
43,1233,8,2021-08-29
44,475,7.5,2021-08-31
45,1313,4.7,2021-10-05
46,5846,18,2022-01-25
47,719,25,2022-02-02
48,7219,5.97,2021-11-14
49,8998,7.95,2021-08-29
50,6362,12,2021-12-29
51,5377,4.69,2021-08-29
52,5990,4.85,2021-08-29
53,615,13.9,2022-01-01
54,8714,30,2022-01-31
55,4156,13.75,2021-12-26
56,5127,5,2021-08-29
57,8919,5.691702,2021-08-30
58,4977,5.4,2021-08-29
59,1522,5,2021-08-29
60,8298,27.5,2022-02-05
61,27553,0.02,2021-10-10
62,24836,15,2022-01-15
63,2031,6.25,2021-08-29
64,9767,40.69,2022-01-26
65,3096,9.9,2021-11-10
66,448,4.8,2021-11-13
67,29393,22.22,2021-11-14
68,5093,4.649,2021-09-06
69,7829,4.49,2021-10-08
70,8131,5.99,2021-11-25
71,7435,4.99,2021-09-04
72,3695,3.97,2021-10-15
73,8687,5.25,2021-09-02
74,12594,7.5,2021-08-29
75,21758,5,2021-09-17
76,4313,6.98,2021-11-18
77,9032,11,2021-12-27
78,7177,6.1311,2021-08-30
79,1433,4.5,2021-11-12
80,5922,12.5,2021-12-26
81,23707,22,2021-12-26
82,16804,16,2022-01-11
83,9524,7.5,2021-08-30
84,1411,5.36,2021-09-08
85,5539,3.5,2021-09-11
86,2983,3.9,2021-11-04
87,910,8,2021-08-29
88,368,12.9,2022-01-01
89,3750,14.4,2022-01-02
90,7081,4.88,2021-09-04
91,991,3.9,2021-11-07
92,7228,26.3362,2022-02-03
93,9272,7.75,2021-12-23
94,3578,6,2021-08-29
95,11088,30,2021-08-30
96,11324,4.7,2021-09-21
97,9736,4.74,2021-08-29
98,2891,6.599,2021-12-11
99,8107,3.41,2021-09-15
100,441,4.8441,2021-10-09
101,18866,6,2021-09-27
102,6886,4.5,2021-09-06
103,17854,8.888,2021-12-24
104,29120,6.2,2021-11-14
105,13576,11,2021-12-27
106,4192,6.7,2021-08-30
107,8825,7.913487473686645507,2021-08-30
108,8688,6.74,2021-08-29
109,21106,6.8,2021-08-30
110,9847,9.99,2021-12-26
111,9266,5.8,2021-09-14
112,8916,4.7,2021-08-29
113,19342,9.989,2021-12-26
114,11922,12.5,2021-11-17
115,27028,4.325,2021-09-17
116,5655,23.88,2022-01-01
117,16642,15,2022-01-02
118,9617,6.9,2021-12-21
119,7065,8,2021-12-03
120,18088,9.6969,2021-09-04
121,4387,16.5,2022-01-16
122,2040,12.5,2021-12-27
123,23648,9.5,2021-12-24
124,7118,4.999,2021-11-07
125,1185,15,2021-12-29
126,8706,5.29,2021-09-26
127,24202,5.8,2021-11-13
128,3723,5.8,2021-08-29
129,6561,5,2021-08-29
130,24320,23,2022-02-06
131,1098,4,2021-08-29
132,4707,7.68,2021-12-17
133,6601,8,2021-12-05
134,8170,3.969,2021-10-24
135,17536,4.1,2021-09-08
136,18089,36.9,2022-01-02
137,7328,5.95,2021-08-29
138,1011,4,2021-08-29
139,7284,14,2021-08-29
140,9823,3.59,2021-09-13
141,17720,4.25,2021-09-09
142,19678,4,2021-10-28
143,2225,6.3,2021-12-13
144,2317,9.5,2021-09-01
145,22026,4.69,2021-09-16
146,2528,4.205,2021-10-05
147,27712,7.39,2021-11-16
148,27996,16.389,2022-01-03
149,6983,5,2021-08-29
150,9235,4.478,2021-11-13
151,16368,3.9299,2021-10-06
152,10274,4.4,2021-10-08
153,18346,7,2021-11-25
154,5600,9,2021-08-29
155,4916,6.85,2021-11-15
156,1142,6.87,2021-12-05
157,6722,4.2,2021-10-04
158,9432,6,2021-10-29
159,14874,15.55,2022-01-10
160,5435,19.55,2022-01-02
161,970,4.59,2021-09-01
162,9827,5.55,2021-10-05
163,24520,6.9,2021-12-12
164,27046,6,2021-11-23
165,13108,4.2,2021-11-07
166,6711,4.5,2021-09-16
167,2990,7.39,2021-12-13
168,8698,9.19,2021-12-26
169,4984,23,2022-01-01
170,29128,5.7,2021-09-25
171,20418,6.8,2021-11-16
172,5918,17.49,2022-01-03
173,2255,14.59,2022-01-06
174,14416,4.0843625,2021-09-08
175,14695,22,2022-01-03
176,6658,7.95,2021-12-11
177,2967,20.8,2021-12-29
178,705,23.69,2021-12-26
179,4260,9.97,2021-11-13
180,8806,6.7,2021-08-29
181,5681,6.908,2021-08-29
182,340,12,2021-08-29
183,2633,7.29,2021-08-30
184,15250,5,2021-08-29
185,1509,3.75,2021-11-04
186,14268,14.99,2022-01-02
187,2635,8.35,2021-08-29
188,3610,3.75,2021-10-23
189,26294,14.84,2022-01-10
190,4056,4.99,2021-09-06
191,6417,7.89,2021-08-29
192,20522,5.55,2021-12-13
193,8049,19.93,2022-02-16
194,3041,3.49,2021-10-20
195,22348,13,2022-01-01
196,7139,7.5,2021-08-30
197,8596,4.65,2021-08-29
198,3320,15,2021-12-27
199,1518,5.5554,2021-08-29
200,14320,5,2021-09-06
201,1237,5,2021-10-01
202,15898,4.68,2021-08-29
203,8552,6.99,2021-09-18
204,6655,10,2021-11-14
205,3783,6,2021-09-01
206,5924,14.95,2022-01-03
207,7453,7.5,2021-08-29
208,8485,5.49,2021-08-29
209,20736,4.39,2021-11-12
210,25093,12,2021-12-25
211,6307,9,2021-12-24
212,8976,15,2022-01-14
213,4034,15,2021-08-30
214,9818,7.5,2021-08-30
215,2850,5,2021-10-03
216,8687,4.5,2021-09-06
217,5582,4.0404,2021-10-12
218,1593,3.5918025,2021-09-13
219,239,12.5,2021-08-29
220,8161,23,2022-02-03
221,3364,3.95,2021-11-05
222,20490,6.8,2021-08-29
223,741,6.5,2021-11-14
224,6159,8,2021-08-30
225,2778,7.49,2021-12-03
226,19732,6,2021-12-16
227,11418,25,2022-02-04
228,29280,5.85,2021-11-15
229,18716,20.98,2022-02-08
230,259,12,2021-12-31
231,8487,8.28,2021-12-06
232,1743,4.485799999999999,2021-08-31
233,3973,3.99,2021-10-14
234,4604,4.29,2021-09-16
235,22911,14,2021-08-29
236,2508,5.49,2021-11-13
237,21076,5.7,2021-11-19
238,607,3.8,2021-10-28
239,13878,9.8765,2021-08-29
240,2739,24,2022-01-29
241,4134,8,2021-08-30
242,9086,29,2022-01-30
243,20170,16.39,2022-01-10
244,582,6.9,2021-09-21
245,28610,6.69,2021-11-16
246,349,5,2021-08-29
247,15960,17,2022-01-02
248,7417,10.3,2021-12-27
249,9422,26.4,2022-01-30
250,16536,4.85,2021-10-02
251,1465,10,2021-11-21
252,474,4.5,2021-09-08
253,15210,15.5,2022-01-02
254,6314,6.33,2021-08-29
255,3862,5.21,2021-11-11
256,1928,25,2022-02-02
257,8580,6.7,2021-09-22
258,508,21,2022-01-01
259,3415,5.45,2021-08-29
260,1644,6,2021-08-29
261,2475,15,2022-01-07
262,5261,12.9,2021-08-30
263,4971,5.8,2021-08-29
264,58,6.9,2021-11-15
265,10884,6.5,2021-12-02
266,3247,4.8,2021-09-04
267,9489,7.5,2021-08-30
268,9234,15,2022-01-09
269,1451,8,2021-08-30
270,9922,16,2022-01-02
271,11608,4.45,2021-09-06
272,5191,8.88,2021-08-30
273,7798,4.5,2021-11-05
274,21118,25.69,2022-01-31
275,3251,4.27,2021-10-05
276,17458,4.8,2021-10-02
277,6708,5.88,2021-11-13
278,28402,4.34,2021-09-02
279,17694,4.125,2021-10-01
280,6438,6,2021-08-31
281,6780,8.5,2021-08-29
282,284,6.15,2021-12-03
283,3296,6.15,2021-12-02
284,2175,8.8,2021-12-22
285,4192,6.1,2021-11-14
286,9284,16.69,2022-01-01
287,9901,4.75,2021-11-13
288,4261,4.92,2021-09-01
289,8505,25,2021-08-30
290,3317,8,2021-08-29
291,4832,22.2,2021-08-29
292,4981,5.5,2021-08-29
293,9236,20.5,2021-12-31
294,2035,7.3,2021-12-21
295,9570,6.9,2021-08-29
296,3791,9.2,2021-12-26
297,802,15.9,2022-01-01
298,1362,22,2021-08-30
299,15498,4.4,2021-11-13
300,21930,6.25,2021-09-18
301,14340,11,2021-12-27
302,1136,11.92,2021-12-30
303,5609,10,2021-08-29
304,3911,3.54,2021-10-20
305,3286,5.49,2021-08-29
306,340,23,2022-02-13
307,18980,4.1999,2021-10-16
308,1472,5.35,2021-08-29
309,9657,12.77,2021-12-26
310,1035,3.77,2021-11-01
311,6059,8.5,2021-08-29
312,5462,8.7,2021-11-15
313,1349,6.99,2021-08-29
314,5307,4.08,2021-11-12
315,5965,9.69,2021-11-16
316,3627,14.35,2022-01-09
317,8698,5.69,2021-08-29
318,5618,4,2021-09-15
319,9848,4.6,2021-09-05
320,7415,6.85,2021-08-30
321,2727,16.9,2022-01-29
322,13410,5.125717213114754099,2021-09-03
323,7914,14.69,2022-01-02
324,8246,4.32,2021-08-29
325,161,5.98,2021-08-31
326,16672,4.95,2021-09-21
327,12876,16.29,2022-01-18
328,27450,11.89,2022-01-01
329,2507,35,2022-02-01
330,5376,6.9,2021-11-19
331,3722,11.5,2021-12-30
332,8455,5,2021-09-02
333,24639,14,2021-11-16
334,5449,5.7,2021-08-29
335,142,4.4,2021-09-23
336,7440,9.99,2021-08-29
337,8387,3.762,2021-11-01
338,23292,4.99,2021-09-06
339,28028,6,2021-11-14
340,13757,13.5,2021-12-13
341,3950,12,2021-11-23
342,10102,6.88,2021-09-03
343,27822,3.9,2021-10-28
344,3137,7.69,2021-12-19
345,8766,6.89,2021-11-19
346,2178,4.55,2021-09-27
347,6231,14.4,2022-01-09
348,5274,24.5,2022-02-04
349,2630,8,2021-11-21
350,1774,5.25,2021-08-29
351,8416,4.3,2021-09-08
352,6118,7.295,2021-11-19
353,2307,15.25,2022-01-12
354,23610,8.9,2021-11-13
355,28020,3.79,2021-11-04
