,tokenId,priceETH,timestamp
0,9659,2.52,2022-01-16
1,1691,2.4,2022-01-17
2,3392,2,2022-01-13
3,3120,12,2022-01-26
4,3475,3.2,2022-01-20
5,9088,2.6,2022-01-15
6,488,3.5,2022-01-20
7,1461,1.76,2022-01-12
8,6872,29.5,2022-01-23
9,2551,3.5,2022-01-20
10,3873,14.5,2022-02-02
11,6613,7.2,2022-01-27
12,2986,1.69,2022-01-12
13,7123,4.49,2022-01-24
14,8489,12.24,2022-01-31
15,6316,5.69,2022-01-21
16,2182,2.18,2022-01-13
17,7357,2.45,2022-01-16
18,7530,5.010070588235294,2022-01-21
19,4103,2.7979,2022-01-20
20,2983,11.8,2022-02-13
21,8151,2.2,2022-01-12
22,4627,3.9,2022-01-22
23,6663,3.65,2022-01-24
24,761,1.825,2022-01-12
25,2521,4.199,2022-01-22
26,3035,2.385,2022-01-17
27,5836,2.7,2022-01-20
28,2471,3.5,2022-01-20
29,3700,4.7,2022-01-21
30,3003,11,2022-01-31
31,4567,11,2022-01-31
32,525,11,2022-01-31
33,6049,10.99,2022-01-31
34,6427,11,2022-01-31
35,9163,11.1,2022-01-31
36,1200,4.9,2022-01-25
37,7800,18,2022-01-27
38,4491,2.19,2022-01-13
39,4790,1.989,2022-01-13
40,3405,3.2,2022-01-20
41,2872,2.7569,2022-01-15
42,373,3.2,2022-01-20
43,8426,2.4,2022-01-13
44,8359,2.29,2022-01-13
45,625,4,2022-01-23
46,9360,3.84,2022-01-24
47,416,2.498,2022-01-13
48,8591,2.488,2022-01-13
49,8592,2.487,2022-01-13
50,8593,2.486,2022-01-13
51,3331,9.7,2022-01-30
52,2481,4.99,2022-01-22
53,3246,1.94,2022-01-12
54,8729,1.777,2022-01-12
55,1609,2.59,2022-01-13
56,3494,2.15,2022-01-12
57,300,1.95,2022-01-12
58,8307,15,2022-02-06
59,6372,1.9,2022-01-13
60,2263,11.7,2022-02-10
61,9680,15,2022-02-15
62,3708,8,2022-01-29
63,5839,4.88,2022-01-26
64,3926,7.5,2022-01-26
65,8800,1.869,2022-01-12
66,2826,2.5869,2022-01-16
67,7866,4.2,2022-01-25
68,6255,2.75,2022-01-14
69,9344,3.2,2022-01-19
70,8363,9,2022-01-30
71,8143,3.25,2022-01-24
72,6646,3.39,2022-01-21
73,3574,5.69,2022-01-26
74,7034,2.44,2022-01-17
75,5941,6.8,2022-01-26
76,9117,4.5,2022-01-21
77,5545,12.97,2022-02-07
78,9941,2.75,2022-01-14
79,2153,2.6,2022-01-15
80,2133,2.71,2022-01-15
81,6505,3.99,2022-01-22
82,8748,6.5,2022-01-26
83,5658,7.5,2022-01-28
84,2441,3.1899,2022-01-20
85,2985,2.684,2022-01-13
86,3729,2.5,2022-01-13
87,3883,5.95,2022-01-26
88,6634,1.91,2022-01-12
89,1149,1.95,2022-01-12
90,5246,1.94,2022-01-12
91,3664,9.5,2022-01-27
92,8408,2.4,2022-01-17
93,6233,3.17,2022-01-20
94,2938,3.215,2022-01-20
95,9442,8.999,2022-01-27
96,262,3.2,2022-01-21
97,7544,7.28,2022-01-26
98,3112,2.42,2022-01-17
99,7273,11.5,2022-02-03
100,2687,2.719,2022-01-14
101,7411,3.65,2022-01-21
102,308,69,2022-01-26
103,1321,14.89,2022-01-30
104,2310,9,2022-01-29
105,6722,2.59,2022-01-15
106,4983,11,2022-02-12
107,4050,5.85,2022-01-26
108,268,15,2022-02-01
109,3056,4.9,2022-01-21
